SPECIES NAME,AUTHORITY,YEAR DESCRIBED,PROTOLOGUE,BASIONYM,TYPE / ORIGINAL REMARKS (IPNI),POWO RANGE SUMMARY,NATIVE RANGE (TDWG L3),INTRODUCED RANGE (TDWG L3),SYNONYMS (POWO),IPNI ID,IPNI URL,POWO URL,WCVP ID,WFO ID,BHL (PROTOLOGUE SCAN),SOURCES,AROIDPEDIA STATUS,AROIDPEDIA RULING / NOTES,PAGE URL
Cyrtosperma beccarianum,A.Hay,1988,Blumea 33(2): 455 (1988),,,New Guinea,New Guinea,,,935719-1,https://www.ipni.org/n/935719-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:935719-1,54870,wfo-0000936200,,IPNI; POWO/WCVP,,,
Cyrtosperma bougainvillense,A.Hay,1988,Blumea 33(2): 441 (1988),,,Solomon Is.,Solomon Is.,,,935716-1,https://www.ipni.org/n/935716-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:935716-1,54871,wfo-0000936201,,IPNI; POWO/WCVP,,,
Cyrtosperma brassii,A.Hay,1988,Blumea 33(2): 439 (1988),,,New Guinea (Louisiade Arch.),New Guinea,,,935715-1,https://www.ipni.org/n/935715-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:935715-1,54872,wfo-0000936202,,IPNI; POWO/WCVP,,,
Cyrtosperma carrii,A.Hay,1988,Blumea 33(2): 450 (1988),,,Papua New Guinea,New Guinea,,,935718-1,https://www.ipni.org/n/935718-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:935718-1,54873,wfo-0000936203,,IPNI; POWO/WCVP,,,
Cyrtosperma cuspidispathum,Alderw.,1920,"Bull. Jard. Bot. Buitenzorg ser. III, i. 371 (1920).",,N. Guin,New Guinea,New Guinea,,,86814-1,https://www.ipni.org/n/86814-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:86814-1,54877,wfo-0000936207,,IPNI; POWO/WCVP,,,
Cyrtosperma giganteum,Engl.,1910,Nova Guinea 8: 249 (1910),,N. Guin,New Guinea,New Guinea,,,86818-1,https://www.ipni.org/n/86818-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:86818-1,54881,wfo-0000936212,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1910&rft.spage=249&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/10923&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,IPNI; POWO/WCVP,,,
Cyrtosperma gressittiorum,A.Hay,1988,Blumea 33(2): 439 (1988),,,New Guinea (Louisiade Arch.),New Guinea,,,935714-1,https://www.ipni.org/n/935714-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:935714-1,54882,wfo-0000936213,,IPNI; POWO/WCVP,,,
Cyrtosperma hambalii,A.Dearden & A.Hay,2001,Aroideana 24: 102 (2001) (2001),,,SW. New Guinea,New Guinea,,,20001020-1,https://www.ipni.org/n/20001020-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:20001020-1,54883,wfo-0000936214,,IPNI; POWO/WCVP,,,
Cyrtosperma hayii,"Raynalta, M.R.Hariri & A.S.D.Irsyam",2024,Phytotaxa 641(3): 235 (2024),,,W. New Guinea,New Guinea,,,77338788-1,https://www.ipni.org/n/77338788-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77338788-1,3313662,wfo-1000062489,,IPNI; POWO/WCVP,,,
Cyrtosperma johnstonii,(W.Bull ex T.Moore & Mast.) N.E.Br.,1882,"Gard. Chron. n.s., 18: 808 (1882)",Alocasia johnstonii W.Bull ex T.Moore & Mast.,Ins. Solomon,Solomon Is.,Solomon Is.,,Alocasia johnstonii W.Bull ex T.Moore & Mast.,86822-1,https://www.ipni.org/n/86822-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:86822-1,54887,wfo-0000936218,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1882&rft.spage=808&rft.volume=18&rft_id=http://www.biodiversitylibrary.org/bibliography/48390&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,IPNI; POWO/WCVP,,,
Cyrtosperma kokodense,A.Hay,1988,Blumea 33(2): 447 (1988),,,Papua New Guinea,New Guinea,,,935717-1,https://www.ipni.org/n/935717-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:935717-1,54888,wfo-0000936219,,IPNI; POWO/WCVP,,,
Cyrtosperma macrotum,Becc. ex Engl.,1879,Bull. Reale Soc. Tosc. Ortic. 4: 295 (1879),,N. Guin,New Guinea,New Guinea,,Cyrtosperma consobrinum Alderw.; Cyrtosperma hastatum Alderw.; Cyrtosperma janowskyi K.Krause; Cyrtosperma subulispathum Alderw.; Cyrtosperma syapense Alderw.,86824-1,https://www.ipni.org/n/86824-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:86824-1,54890,wfo-0000936222,,IPNI; POWO/WCVP,,,
