NAME,AUTHORITY,RANK,YEAR,PROTOLOGUE,POWO STATUS,ACCEPTED NAME (POWO),RELATION,BASIONYM,TYPE / ORIGINAL REMARKS (IPNI),IPNI ID,IPNI URL,POWO URL,WCVP ID,SOURCES,NOTES
Cyrtosperma afzelii,(Schott) Engl.,species,1879,Monogr. Phan. [A.DC. & C.DC.] 2: 269 (1879),Synonym,Lasimorpha senegalensis Schott,Cyrtosperma name now accepted in another genus,Lasimorpha afzelii Schott,Afr. trop,86808-1,https://www.ipni.org/n/86808-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:86808-1,54866,IPNI; POWO/WCVP,
Cyrtosperma americanum,Engl.,species,1878,"Fl. Bras. 3(2): 117, t. 22 (1878)",Synonym,Anaphyllopsis americana (Engl.) A.Hay,Cyrtosperma name now accepted in another genus,,,275632-2,https://www.ipni.org/n/275632-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:275632-2,54867,IPNI; POWO/WCVP,
Cyrtosperma angustilobum,Engl.,species,1911,Pflanzenr. Arac.-Lasioid. 21 (1911),Synonym,Podolasia stipitata N.E.Br.,Cyrtosperma name now accepted in another genus,,Sumatra,86810-1,https://www.ipni.org/n/86810-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:86810-1,54868,IPNI; POWO/WCVP,
Cyrtosperma bantamense,Koord.,species,1919,"Bull. Jard. Bot. Buitenzorg sér. 3, 1: 160 (1919)",Synonym,Cyrtosperma merkusii (Hassk.) Schott,Cyrtosperma name sunk into an accepted Cyrtosperma species,,,77239346-1,https://www.ipni.org/n/77239346-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77239346-1,54869,IPNI; POWO/WCVP,
Cyrtosperma chamissonis,(Schott) Merr.,species,1914,"Philipp. J. Sci., C 9: 65 (1914)",Synonym,Cyrtosperma merkusii (Hassk.) Schott,Cyrtosperma name sunk into an accepted Cyrtosperma species,Arisacontis chamissonis Schott,Arisacontis Chamissonis,86811-1,https://www.ipni.org/n/86811-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:86811-1,54874,IPNI; POWO/WCVP,
Cyrtosperma congoensis,L.Linden,species,1900,Semaine Hort. 4: 472 (1900),Synonym,Anchomanes difformis (Blume) Engl.,Cyrtosperma name now accepted in another genus,,,77239327-1,https://www.ipni.org/n/77239327-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77239327-1,470367,IPNI; POWO/WCVP,
Cyrtosperma consobrinum,Ahlerwer.,species,1920,"Bull. Jard. Bot. Buitenzorg ser. III, i. 375 (1920).",Not in POWO,,IPNI record only,,N. Guin,86812-1,https://www.ipni.org/n/86812-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:86812-1,,IPNI,
Cyrtosperma consobrinum,Alderw.,species,1920,"Bull. Jard. Bot. Buitenzorg sér. 3, 1: 375 (1920)",Synonym,Cyrtosperma macrotum Becc. ex Engl.,Cyrtosperma name sunk into an accepted Cyrtosperma species,,,77239983-1,https://www.ipni.org/n/77239983-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77239983-1,54875,IPNI; POWO/WCVP,
Cyrtosperma cuspidilobum,Schott,species,1864,Ann. Mus. Bot. Lugduno-Batavi 1: 284 (1864),Synonym,Cyrtosperma merkusii (Hassk.) Schott,Cyrtosperma name sunk into an accepted Cyrtosperma species,,,86813-1,https://www.ipni.org/n/86813-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:86813-1,54876,IPNI; POWO/WCVP,
Cyrtosperma dubium,Schott,species,1864,Ann. Mus. Bot. Lugduno-Batavi 1: 284 (1864),Synonym,Cyrtosperma merkusii (Hassk.) Schott,Cyrtosperma name sunk into an accepted Cyrtosperma species,,,86815-1,https://www.ipni.org/n/86815-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:86815-1,54878,IPNI; POWO/WCVP,
