title,url,repository,cited_by_count,cited_by_taxa
A. Engler & K. Krause: Das Pflanzenreich :regni vegetablilis conspectus (Heft 70-71:116) (1919-1920),https://www.biodiversitylibrary.org/page/16814999,biodiversitylibrary.org,1,ALOCASIA LAUTERBACHIANA
"A. Engler: Botanische Jahrbücher fur Systematik, Pflanzengeschichte und Pflanzengeographie (Bd. 25:26) (1898)",https://www.biodiversitylibrary.org/page/208878,biodiversitylibrary.org,1,ALOCASIA LAUTERBACHIANA
A. Hay & R. Wise: The genus Alocasia in Australasia - BLUMEA 35 (1991) (P. 515),https://repository.naturalis.nl/pub/525733,repository.naturalis.nl,5,ALOCASIA BRANCIFOLIA; ALOCASIA BRISBANENSIS; ALOCASIA HOLLRUNGII; ALOCASIA LAUTERBACHIANA; ALOCASIA WENTII
The American Florist: a weekly journal v.7 P.209 (1891-1892),https://www.biodiversitylibrary.org/page/24962991,biodiversitylibrary.org,1,ALOCASIA SANDERIANA
Bibliotheca Botanica (German) Bd.20 (1915): Page 504,https://www.biodiversitylibrary.org/page/47220949,biodiversitylibrary.org,1,ALOCASIA BRISBANENSIS
Blumea 16 (1968) P.116,https://repository.naturalis.nl/pub/525216/BLUM1968016001008.pdf,repository.naturalis.nl,2,ALOCASIA BRANCIFOLIA; ALOCASIA LAUTERBACHIANA
Blumea 35: 519 (1991),http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.1032.8026&rep=rep1&type=pdf,citeseerx.ist.psu.edu,1,ALOCASIA PYROSPATHA
Blumea Supplement 8,https://www.researchgate.net/profile/Peter-Boyce-2/publication/273238570_Checklist_and_Botanical_Bibliography_of_the_Aroids_of_Malesia_Australia_and_the_Tropical_Western_Pacific_Region/links/5597a14b08ae99aa62c8d8c2/Checklist-and-Botanical-Bibliography-of-the-Aroids-of-Malesia-Australia-and-the-Tropical-Western-Pacific-Region.pdf,researchgate.net,1,ALOCASIA BRANCIFOLIA
"Blumea, V. 38 - Issue 2 P.331- 333 (1994",https://repository.naturalis.nl/pub/525070,repository.naturalis.nl,1,ALOCASIA SIMONSIANA
Bonplandia. Zeitschrift für die gesammte Botanik (Germany) J7 (1859) Page 28,https://www.biodiversitylibrary.org/page/5371891,biodiversitylibrary.org,3,ALOCASIA ACUMINATA; ALOCASIA DECIPIENS; ALOCASIA FALLAX
Bonplandia. Zeitschrift für die gesammte Botanik (Hannover) 10: 148 (1862),https://www.biodiversitylibrary.org/page/28138625,biodiversitylibrary.org,1,ALOCASIA PORTEI
"Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie V.54 P.90 (1916-1917)",https://www.biodiversitylibrary.org/page/42837763,biodiversitylibrary.org,1,ALOCASIA WENTII
"Botanische Jahrbücher fur Systematik, Pflanzengeschichte und Pflanzengeographie (German) V37: 135 (1905)",https://www.biodiversitylibrary.org/page/12878,biodiversitylibrary.org,1,ALOCASIA CULIONENSIS
