title,url,repository,cited_by_count,cited_by_taxa
Bangladesh Journal of Plant Taxonomy 19(2) (2012),https://www.researchgate.net/publication/270171080_A_New_Amorphophallus_Species_Araceae_from_Vietnam#read,researchgate.net,1,AMORPHOPHALLUS CANDIDISSIMUS
Bangladesh Journal of Plant Taxonomy V.19 (2) (2012) P.141,https://www.banglajol.info/index.php/BJPT/article/view/13127/9440,banglajol.info,1,AMORPHOPHALLUS CARNOSUS
Biodiversity of Gabon,https://gabonbiota.org/portal/taxa/index.php?tid=10204&taxauthid=1&clid=0,gabonbiota.org,1,AMORPHOPHALLUS CANALICULATUS
Blumea 39: 263 (1994),https://repository.naturalis.nl/pub/525950,repository.naturalis.nl,4,AMORPHOPHALLUS BUFO; AMORPHOPHALLUS CICATRICIFER; AMORPHOPHALLUS COAETANEUS; AMORPHOPHALLUS COSTATUS
Blumea 65 (2020) 1–9,https://www.ingentaconnect.com/content/nhn/blumea/2020/00000065/00000001/art00001,ingentaconnect.com,1,AMORPHOPHALLUS CIDARIOIDES
Blumea V.39 (1994) P. 295-299,https://repository.naturalis.nl/pub/526188,repository.naturalis.nl,1,AMORPHOPHALLUS BONACCORDENSIS
Blumea V.46 (2001) P.256,https://repository.naturalis.nl/pub/524756/BLUM2001046002005.pdf,repository.naturalis.nl,2,AMORPHOPHALLUS BOYCEANUS; AMORPHOPHALLUS BRACHYPHYLLUS
"Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie V.1 (1881) P.182",https://www.biodiversitylibrary.org/page/42969922,biodiversitylibrary.org,1,AMORPHOPHALLUS BECCARII
Cornell Herbarium - John Mark Violetta,http://herbarium.bh.cornell.edu/cgi-bin/bhbase/cubic_gallery_public.pl?image_table=bh.phyto_img_data&annot_table=bh.phyto_i_annot&search=genus&scope=public&owner=John+Mark+Violetta&startat=0&endat=79,herbarium.bh.cornell.edu,1,AMORPHOPHALLUS CAUDATUS
Curtis’ Botanical Magazine Vol 149 (1923) TAB. 9000,https://babel.hathitrust.org/cgi/pt?id=mdp.39015063471695&seq=137,babel.hathitrust.org,1,AMORPHOPHALLUS CIRRIFER
Different regional names forAmorphophallus commutatus,https://dineshvalke.blogspot.com/2020/12/amorphophallus-commutatus-schott-engl.html,dineshvalke.blogspot.com,1,AMORPHOPHALLUS COMMUTATUS
e-Flora of India,https://efloraofindia.com/efi/amorphophallus-bulbifer/,efloraofindia.com,1,AMORPHOPHALLUS BULBIFER
e-Flora of Thailand,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04869,botany.dnp.go.th,1,AMORPHOPHALLUS BOYCEANUS
e-Flora of Thailand,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04870,botany.dnp.go.th,1,AMORPHOPHALLUS BREVISPATHUS
eFlora of China Vol 23 Page 24,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242302691,efloras.org,1,AMORPHOPHALLUS COAETANEUS
eFlora of India,https://efloraofindia.com/efi/amorphophallus-commutatus/,efloraofindia.com,1,AMORPHOPHALLUS COMMUTATUS
Flora of British India v.6 (1894) P. 516,https://www.biodiversitylibrary.org/page/356085,biodiversitylibrary.org,1,AMORPHOPHALLUS CHLOROSPATHUS
Flora of Tropical Africa 8 (1901) P.153,https://www.biodiversitylibrary.org/page/378804,biodiversitylibrary.org,1,AMORPHOPHALLUS BAUMANNII
Flora of Tropical Africa V.8 (1901-1902) P. 155,https://www.biodiversitylibrary.org/page/378806,biodiversitylibrary.org,1,AMORPHOPHALLUS CALABARICUS
African Plants,http://www.africanplants.senckenberg.de/root/index.php?page_id=78&id=101#image=76304,africanplants.senckenberg.de,1,AMORPHOPHALLUS BAUMANNII
Guihaia V3 (1986) P. 183,http://gxzw.ijournals.cn/gxzw/ch/reader/create_pdf.aspx?file_no=198603006&year_id=1986&quarter_id=3&falg=1,gxzw.ijournals.cn,1,AMORPHOPHALLUS COAETANEUS
Journal of the Federated Malay States Museums V.4 (1911) P.89,https://www.biodiversitylibrary.org/page/19043037,biodiversitylibrary.org,1,AMORPHOPHALLUS BUFO
