key,species,scientificName,acceptedScientificName,taxonomicStatus,basisOfRecord,eventDate,year,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,recordedBy,recordNumber,institutionCode,collectionCode,catalogNumber,typeStatus,identifiedBy,datasetName,datasetKey,occurrenceID,references,issues,media
438173152,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,,,,,,,,,,,,MNHN,P,P02136326,,Bogner,,b5cdf794-8fa4-4a85-8b26-755d087bf531,http://coldb.mnhn.fr/catalognumber/mnhn/p/p02136326,,TAXON_MATCH_HIGHERRANK,http://mediaphoto.mnhn.fr/media/1441304126715MWJbvuFOcCId5y1k
439358960,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,,,,,,,,,,,,MNHN,P,P02136287,,,,b5cdf794-8fa4-4a85-8b26-755d087bf531,http://coldb.mnhn.fr/catalognumber/mnhn/p/p02136287,,TAXON_MATCH_HIGHERRANK,http://mediaphoto.mnhn.fr/media/14413041259435Mbgof52bCeUo91k
464631045,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,,,,,,,,,,,,MNHN,P,P01685582,,,,b5cdf794-8fa4-4a85-8b26-755d087bf531,http://coldb.mnhn.fr/catalognumber/mnhn/p/p01685582,,TAXON_MATCH_HIGHERRANK,http://mediaphoto.mnhn.fr/media/1441311896283PiCdLhXzLjovWKGq
912059131,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,,,,,,,,,,,,K,Spirit,58093.000,,,,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,http://specimens.kew.org/herbarium/58093.000,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,
3467319778,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,MACHINE_OBSERVATION,,,,,,,,,,,,US,US,,,,NMNH Extant Biology,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/3327219c5-648a-4c7d-9d1b-ec147b7bf3cf,,TAXON_MATCH_HIGHERRANK;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,https://collections.nmnh.si.edu/media/?i=15230412&h=1044
5068784935,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,,,PG,,,,,,,,,BRIT,BRIT,BRIT1140361,,,,defb9a47-c1a7-4fb2-9a0b-2da7c5260cad,9b6277f6-1dab-4008-b00a-4b0806ba895c,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=33553799,CONTINENT_DERIVED_FROM_COUNTRY;TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY,
6248789325,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,HUMAN_OBSERVATION,,,,,,,,,,,,MeiseBG,BR,BR0000022776204,,,Meise Botanic Garden Herbarium (BR),b740eaa0-0679-41dc-acb7-990d562dfa37,http://www.botanicalcollections.be/specimen/BR0000022776204,,COUNTRY_INVALID;TAXON_MATCH_HIGHERRANK,
1056536602,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1882-02-02,1882,TL,,,-8.822978,125.853671,250.0,,Anon.,s.n.,NHMUK,BOT,BM000957444,,Josef Bogner,,7e380070-f762-11e1-a439-00145eb45e9a,7967e20e-84bb-475c-a2cd-0625626341d7,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,
1096731764,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1894-01-13,1894,BR,Mato Grosso,"Exped. Imæ [primæ] Regnellian. Phanerogamæ. Brasiliae civit. Matto Grosso: Serra da Chapada, vicinitatis Rio Manso.",-15.646347,-55.436742,,,C. A. M. Lindman,,S,VascularPlants,S10-30602,,,,0943f690-fde5-11dd-83f4-b8a03c50a862,S:VascularPlants:S10-30602,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;AMBIGUOUS_COLLECTION,
1981027523,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1915-11,1915,PH,Luzon,Irosin (Mt. Bulusan),,,,,"Elmer, A. D. E.",1523,CAS,BOT-BC,602380,,,,f934f8e2-32ca-46a7-b2f8-b032a4740454,urn:catalog:CAS:BOT-BC:602380,,RECORDED_DATE_MISMATCH,https://ibss-images.calacademy.org/static/botany/originals/5d/c4/5dc49899-0251-4951-a034-108c0f942b63.jpg;https://ibss-images.calacademy.org/static/botany/originals/de/b1/deb1f0c2-30b1-47dd-8884-7aa7e118d291.jpg
94225403,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,OCCURRENCE,1918,1918,PG,Central,Mekeo District,-8.666667,146.5,,,White C.T.,,BRI,PNGplants,68298,,,,85312280-f762-11e1-a439-00145eb45e9a,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;BASIS_OF_RECORD_INVALID,
1055493089,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1922-05-20,1922,,,Tropical Africa,,,,2.0,Georges Marie Patrice Charles Le Testu,3886,NHMUK,BOT,BM001050407,,,,7e380070-f762-11e1-a439-00145eb45e9a,27b3e67f-7e45-45d6-a175-892103e16ecf,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,
