species,taxon_rank,observation_id,url,observed_on,observer_login,observer_name,place_guess,latitude,longitude,obscured,positional_accuracy_m,quality_grade,captive_cultivated,n_identifications,n_photos,photo_licences,description,observation_licence
Cyrtosperma,genus,311394059,https://www.inaturalist.org/observations/311394059,,geetha_kumari,GEETHA KUMARI Boga,,,,False,,casual,False,1,1,cc-by-nc,,cc-by-nc
Cyrtosperma,genus,295045879,https://www.inaturalist.org/observations/295045879,,desiplutfiah_1512,,"Istana Bogor, Paledang, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat, Indonesia",-6.597628929,106.799569577,False,323,casual,True,1,1,cc-by-nc,,cc-by-nc
Cyrtosperma,genus,220196613,https://www.inaturalist.org/observations/220196613,,anaxliyana,anaxliyana,"Kemensah Heights, 68000 Ampang, Selangor, Malaysia",3.2091920938,101.7575413361,False,8,casual,False,1,2,None;None,,
Cyrtosperma,genus,186279401,https://www.inaturalist.org/observations/186279401,,anaxliyana,anaxliyana,"50603 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1307075555,101.6581591219,False,213,casual,False,1,1,None,,
Cyrtosperma,genus,550062,https://www.inaturalist.org/observations/550062,2014-01-03,techieoldfox,Jonathan Hiew,"botanic garden, singapore",1.315916,103.815275,False,33,casual,True,1,1,cc-by-nc-sa,Cyrtosperma sp.,cc-by-nc-sa
Cyrtosperma,genus,72142469,https://www.inaturalist.org/observations/72142469,2021-03-27,khong_shi_mun147524,Khong Shi Mun 147524,"Taman Pekaka, 11700 Gelugor, Pulau Pinang, Malaysia",5.351646655,100.2972116321,False,8,casual,True,1,1,cc-by-nc,,cc-by-nc
Cyrtosperma,genus,95553833,https://www.inaturalist.org/observations/95553833,2021-09-18,hugo422,Hugo Bracero,,,,False,,casual,False,1,1,None,,
Cyrtosperma,genus,118494583,https://www.inaturalist.org/observations/118494583,2022-05-24,adelinehii,Adeline Hii,"No. 242-243, 2nd Floor, Jalan Tun Ahmad Zaidi, Sarawak, 97000 Bintulu, Sarawak, Malaysia",3.1885416,113.0486679,False,1899,needs_id,False,3,2,cc-by-nc;cc-by-nc,,cc-by-nc
Cyrtosperma,genus,147252328,https://www.inaturalist.org/observations/147252328,2023-01-24,ongzi,Ong Jyh Seng,"Sarikei, Sarawak, Malaysia",2.1148833333,111.5228277778,False,,needs_id,False,4,1,cc-by-sa,,cc-by-sa
Cyrtosperma,genus,185508310,https://www.inaturalist.org/observations/185508310,2023-07-07,tanager912,Anne Heyerly,"North Fly District, Papua New Guinea",-6.002294445,141.3309333333,False,3,needs_id,False,4,1,cc-by-nc,,cc-by-nc
Cyrtosperma,genus,175319063,https://www.inaturalist.org/observations/175319063,2023-07-28,akmal_idham,Akmal Idham,"Bukit Raja, Selangor, Malaysia",3.16915,101.4977833333,False,,needs_id,False,3,3,cc-by-nc;cc-by-nc;cc-by-nc,,cc-by-nc
Cyrtosperma,genus,182013523,https://www.inaturalist.org/observations/182013523,2023-08-30,bernhardlettneraustria,,"Jayapura, Papua, Indonesien",-2.5443871759,140.1430631493,False,8,needs_id,False,1,1,cc-by-nc,,cc-by-nc
Cyrtosperma,genus,316054375,https://www.inaturalist.org/observations/316054375,2024-01-27,abduelhakim,Hakim,"Malalilis, Distrik Klayili, Kabupaten Sorong, Papua Bar., Indonesia",-0.9437535,131.5112776,False,10728,needs_id,False,2,2,cc-by-nc;cc-by-nc,,cc-by-nc
Cyrtosperma,genus,260884389,https://www.inaturalist.org/observations/260884389,2024-02-10,douentza,Rachel Darlington,"Kinabatangan River, Sabah, Malaysia",5.5983488985,118.1706052199,False,37877,needs_id,False,1,1,cc-by-nc,,cc-by-nc
Cyrtosperma,genus,216149092,https://www.inaturalist.org/observations/216149092,2024-04-27,lunarjade,,"VWCC+J3 Panti Forest, Gunung Panti Recreational Forest, 81900 Kota Tinggi, Johor, Malaysia",1.8715526,103.9201874,False,213,needs_id,False,2,1,cc-by-nc,,cc-by-nc
Cyrtosperma,genus,313746158,https://www.inaturalist.org/observations/313746158,2025-01-06,benackerley,Ben Ackerley,"Sorong Timur, Sorong, West Papua, ID",-0.9184033333,131.3432616667,False,10,needs_id,False,3,1,cc-by-nc,,cc-by-nc
Cyrtosperma,genus,259624679,https://www.inaturalist.org/observations/259624679,2025-01-06,chrismac,Christine McCormack,"Sorong Timur, Sorong, West Papua, ID",-0.9176998595,131.3441997994,False,116,needs_id,False,1,1,cc-by-nc,,cc-by-nc
Cyrtosperma,genus,258647656,https://www.inaturalist.org/observations/258647656,2025-01-15,fabriciocs,Fabricio Carvalho da Silva,Jardim Botânico do Rio de Janeiro,-22.9705195399,-43.2234207541,False,193,needs_id,False,3,4,cc-by;cc-by;cc-by;cc-by,,cc-by
Cyrtosperma,genus,263714841,https://www.inaturalist.org/observations/263714841,2025-02-27,dilyanged,Dilyanged,"Palau, PW",7.2582883333,134.442245,False,44,needs_id,False,2,4,cc-by-nc;cc-by-nc;cc-by-nc;cc-by-nc,,cc-by-nc
Cyrtosperma,genus,272852163,https://www.inaturalist.org/observations/272852163,2025-04-25,elijah17053,Elijah Montecillo,"HW6H+5RQ, Nabunturan, Davao de Oro, Philippines",7.56019945,125.92886753,False,3,casual,True,1,1,None,,
Cyrtosperma,genus,274513629,https://www.inaturalist.org/observations/274513629,2025-04-27,caseyfication,Vreni Gem O. Caasi,"Tagum, Davao del Norte, Philippines",7.4722503868,125.8312744922,False,31,needs_id,False,2,1,cc-by,,cc-by
Cyrtosperma,genus,292398807,https://www.inaturalist.org/observations/292398807,2025-06-19,ibnu_fatieh_nurzakki,Ibnu Zaki,"9RX2+M7Q Akuatik Park, RT.04/RW.02, Paledang, Bogor Tengah, Bogor City, West Java 16122, Indonesia",-6.6006184286,106.8007192388,False,73,casual,True,1,3,cc-by-nc;cc-by-nc;cc-by-nc,,cc-by-nc
Cyrtosperma,genus,295030641,https://www.inaturalist.org/observations/295030641,2025-07-05,alipalawi,Alip Alawi,"5GJR+4GG, Jatipancur, Kec. Greged, Kabupaten Cirebon, Jawa Barat 45172, Indonesia",-6.8196924774,108.5413257033,False,214,casual,True,2,3,cc-by-nc;cc-by-nc;cc-by-nc,,cc-by-nc
Cyrtosperma,genus,311484194,https://www.inaturalist.org/observations/311484194,2025-07-25,haniristiawan,Hani Ristiawan,"Kota Sorong, ID-IB, ID",-0.9181454857,131.3440057681,False,245,needs_id,False,2,2,cc-by-nc;cc-by-nc,,cc-by-nc
Cyrtosperma,genus,308838089,https://www.inaturalist.org/observations/308838089,2025-08-13,yerbasanta,yerbasanta,"San Marino, CA 91108, USA",34.1287791538,-118.11439991,False,13,casual,True,1,5,cc-by-nc;cc-by-nc;cc-by-nc;cc-by-nc;cc-by-nc,"Photos for reference and/or range, phenology of uncommon exotic species.  Labeled plant. In greenhouse ",cc-by-nc
Cyrtosperma,genus,315989798,https://www.inaturalist.org/observations/315989798,2025-08-28,haniristiawan,Hani Ristiawan,"Kota Sorong, Papua Bar., Indonesia",-0.9334460604,131.4144442461,False,3694,needs_id,False,2,3,cc-by-nc;cc-by-nc;cc-by-nc,,cc-by-nc
Cyrtosperma,genus,321600428,https://www.inaturalist.org/observations/321600428,2025-10-18,kaylaaquatic15,iqbal ridhany,"WV47+FH9, Kuala Kurun, Kec. Kurun, Kabupaten Gunung MAS, Kalimantan Tengah 74571, Indonesia",-1.0935630859,113.8638647273,False,301,needs_id,False,1,2,None;None,,
Cyrtosperma,genus,322893549,https://www.inaturalist.org/observations/322893549,2025-10-25,tuti6,Tuti Hartati,"7G7J+4JJ, Karyamulya, Kec. Kesambi, Kota Cirebon, Jawa Barat, Indonesia",-6.7372601,108.5316048,False,11,casual,True,1,1,cc-by-nc,,cc-by-nc
Cyrtosperma,genus,325615720,https://www.inaturalist.org/observations/325615720,2025-11-08,douch,James K. Douch,"Madang, PG",-5.2258,145.6858666667,False,33,needs_id,False,2,1,cc-by-sa,,cc-by-sa
Cyrtosperma,genus,335481480,https://www.inaturalist.org/observations/335481480,2026-01-19,pasttier,Luis Sibira,Vivero Falcón,10.6566975491,-71.6092625633,False,6,casual,True,1,2,None;None,,
Cyrtosperma,genus,336338442,https://www.inaturalist.org/observations/336338442,2026-01-27,lenachow,Lena Chow,"MacRitchie Reservoir, Singapore",1.3447621,103.8223506,False,1727,needs_id,False,3,1,None,,
Cyrtosperma,genus,338523943,https://www.inaturalist.org/observations/338523943,2026-02-11,yanuar_idc,Yanuar Ishaq Dc,"Manokwari Barat, Manokwari, West Papua, ID",-0.8561333333,134.0801555,False,227,needs_id,False,2,2,cc-by-nc-sa;cc-by-nc-sa,,cc-by-nc-sa
Cyrtosperma,genus,349210198,https://www.inaturalist.org/observations/349210198,2026-04-12,user157,.,,,,True,,needs_id,False,1,2,None;None,Cyrtosperma ferox in flower  Elevation 36m,
Cyrtosperma,genus,349193443,https://www.inaturalist.org/observations/349193443,2026-04-12,user157,.,,,,True,5,needs_id,False,1,2,None;None,"Cyrtosperma ferox   growing near water body in lowland forest, near Tacca cristata.  elevation 34m",
Cyrtosperma,genus,362678033,https://www.inaturalist.org/observations/362678033,2026-05-08,mdoliveira,,"Tanglin, Singapore",1.3150638889,103.8145361111,False,,casual,True,1,1,cc-by-nc,,cc-by-nc
Cyrtosperma,genus,360895951,https://www.inaturalist.org/observations/360895951,2026-05-12,salam_firdaus,Salam Firdaus,"Tlk. Meranti, Kec. Tlk. Meranti, Kabupaten Pelalawan, Riau, Indonesia",0.3311118307,102.7241645381,False,100,needs_id,False,1,7,cc-by-nc;cc-by-nc;cc-by-nc;cc-by-nc;cc-by-nc;cc-by-nc;cc-by-nc,,cc-by-nc
Cyrtosperma,genus,365669943,https://www.inaturalist.org/observations/365669943,2026-05-23,anisa_ika,Anisa Ika Sari,"43WG+28, Padarni, Kec. Manokwari Bar., Kabupaten Manokwari, Papua Bar. 98312, Indonesia",-0.8558133333,134.07562,False,3,needs_id,False,2,1,cc-by-nc,bunga,cc-by-nc
Cyrtosperma,genus,366483212,https://www.inaturalist.org/observations/366483212,2026-05-29,samuel_lee,Samuel Lee,"Johor, MY",1.8090053137,103.8965110126,True,,needs_id,False,1,3,cc-by;cc-by;cc-by,,cc-by
Cyrtosperma carrii,species,341826038,https://www.inaturalist.org/observations/341826038,2012-08-18,isjo,,"80 Munich-Neuhausen-Nymphenburg, Alemania",48.163805336,11.5023816892,False,15,casual,True,1,2,cc-by-nc;cc-by-nc,,cc-by-nc
Cyrtosperma carrii,species,290257769,https://www.inaturalist.org/observations/290257769,2025-06-07,johnpaulhouston,,"Koiari Rural LLG, Central Province, Papua New Guinea",-9.4658276278,147.5044815615,False,1885,research,False,3,2,cc-by-nc;cc-by-nc,,
Cyrtosperma cuspidispathum,species,70808405,https://www.inaturalist.org/observations/70808405,2018-08-02,mehdh,Mehd Halaouate,"Nimbotong, Beneik, Kec. Unurum Guay, Jayapura, Papua, Indonesien",-2.605065,140.0635069,False,2167,research,False,4,1,cc-by-nc,,cc-by-nc
Cyrtosperma cuspidispathum,species,70808404,https://www.inaturalist.org/observations/70808404,2018-08-02,mehdh,Mehd Halaouate,"Nimbotong, Beneik, Kec. Unurum Guay, Jayapura, Papua, Indonesien",-2.605065,140.0635069,False,2167,research,False,2,1,cc-by-nc,,cc-by-nc
