species,observation_id,observation_url,photo_id,photo_url_original,licence,attribution,observer_login,observer_name,observed_on,place_guess,quality_grade,obscured,latitude,longitude,width,height,downloaded,file,size_obtained
Cyrtosperma merkusii,216994,https://www.inaturalist.org/observations/216994,273699,https://inaturalist-open-data.s3.amazonaws.com/photos/273699/original.jpg,cc-by-nc,"(c) John Tasirin, some rights reserved (CC BY-NC)",johntasirin,John Tasirin,2012-07-14,"Kepulauan Sangihe Talaud, ID-SW, ID",casual,False,3.4407706139,125.5644607544,600,600,yes,merkusii/inat-216994-273699-johntasirin.jpg,original
Cyrtosperma merkusii,216994,https://www.inaturalist.org/observations/216994,273700,https://inaturalist-open-data.s3.amazonaws.com/photos/273700/original.jpg,cc-by-nc,"(c) John Tasirin, some rights reserved (CC BY-NC)",johntasirin,John Tasirin,2012-07-14,"Kepulauan Sangihe Talaud, ID-SW, ID",casual,False,3.4407706139,125.5644607544,600,600,yes,merkusii/inat-216994-273700-johntasirin.jpg,original
Cyrtosperma,550062,https://www.inaturalist.org/observations/550062,702084,https://inaturalist-open-data.s3.amazonaws.com/photos/702084/original.JPG,cc-by-nc-sa,"(c) 106611639464075912591, some rights reserved (CC BY-NC-SA)",techieoldfox,Jonathan Hiew,2014-01-03,"botanic garden, singapore",casual,False,1.315916,103.815275,384,512,yes,sp/inat-550062-702084-techieoldfox.jpg,original
Cyrtosperma johnstonii,551907,https://www.inaturalist.org/observations/551907,704018,https://inaturalist-open-data.s3.amazonaws.com/photos/704018/original.jpg,cc-by-nc-sa,"(c) 106611639464075912591, some rights reserved (CC BY-NC-SA)",techieoldfox,Jonathan Hiew,2013-12-24,Singapore,casual,False,1.316047,103.8174,386,512,yes,johnstonii/inat-551907-704018-techieoldfox.jpg,original
Cyrtosperma johnstonii,565656,https://www.inaturalist.org/observations/565656,719197,https://inaturalist-open-data.s3.amazonaws.com/photos/719197/original.jpg,cc-by-nc-sa,"(c) 106611639464075912591, some rights reserved (CC BY-NC-SA)",techieoldfox,Jonathan Hiew,2013-09-06,Singapore,research,False,1.279517,103.797933,386,512,yes,johnstonii/inat-565656-719197-techieoldfox.jpg,original
Cyrtosperma johnstonii,2369912,https://www.inaturalist.org/observations/2369912,2638902,https://inaturalist-open-data.s3.amazonaws.com/photos/2638902/original.jpg,cc-by-nc-sa,"(c) Jonathan Hiew, some rights reserved (CC BY-NC-SA)",techieoldfox,Jonathan Hiew,2015-11-03,Singapore,casual,False,1.316108,103.8173599,384,512,yes,johnstonii/inat-2369912-2638902-techieoldfox.jpg,original
Cyrtosperma merkusii,5783253,https://www.inaturalist.org/observations/5783253,7184437,https://inaturalist-open-data.s3.amazonaws.com/photos/7184437/original.jpeg,cc-by-nc,"(c) Adeline Hii, some rights reserved (CC BY-NC)",adelinehii,Adeline Hii,2017-04-16,"Jalan Setia Raja, 93350 Kuching, Sarawak, Malaysia",research,False,1.5196399,110.3889459,2048,1371,yes,merkusii/inat-5783253-7184437-adelinehii.jpg,original
Cyrtosperma merkusii,8395215,https://www.inaturalist.org/observations/8395215,11168344,https://inaturalist-open-data.s3.amazonaws.com/photos/11168344/original.jpg,cc0,no rights reserved,pjd1,Peter de Lange,2017-09-29,"Cook Islands, Rarotonga, Avana Stream Walk, Avana Stream",research,False,-21.24899,-159.760891,1536,2048,yes,merkusii/inat-8395215-11168344-pjd1.jpg,original
Cyrtosperma merkusii,8395215,https://www.inaturalist.org/observations/8395215,11169219,https://inaturalist-open-data.s3.amazonaws.com/photos/11169219/original.jpg,cc0,no rights reserved,pjd1,Peter de Lange,2017-09-29,"Cook Islands, Rarotonga, Avana Stream Walk, Avana Stream",research,False,-21.24899,-159.760891,2048,1536,yes,merkusii/inat-8395215-11169219-pjd1.jpg,original
Cyrtosperma merkusii,8395215,https://www.inaturalist.org/observations/8395215,11169220,https://inaturalist-open-data.s3.amazonaws.com/photos/11169220/original.jpg,cc0,no rights reserved,pjd1,Peter de Lange,2017-09-29,"Cook Islands, Rarotonga, Avana Stream Walk, Avana Stream",research,False,-21.24899,-159.760891,1536,2048,yes,merkusii/inat-8395215-11169220-pjd1.jpg,original
