scientificName,typeStatus,institutionCode,catalogNumber,recordedBy,recordNumber,year,locality,country,media_url,media_license,media_rightsHolder,gbif_occurrence,file,status
Cyrtosperma bougainvillense A.Hay,Isotype,,L  0041890,Schodde R,"Schodde, R 3837",1964,"Bougainville Lake Lolosu crater, c 15 miles north of Buin",Papua New Guinea,https://medialib.naturalis.nl/file/id/L0041890_MLN/format/large,http://creativecommons.org/publicdomain/zero/1.0/,Naturalis Biodiversity Center,https://www.gbif.org/occurrence/2513103865,Cyrtosperma-bougainvillense-A-Hay--L-0041890-1.jpg,downloaded image/jpeg
Cyrtosperma bougainvillense A.Hay,Isotype,A,barcode-00025749,R. Schodde & L. A. Craven,3837,1964,"Bougainville, Maide River gorge, lower south slopes of Lake Lolosu crater, ca. 15 miles north of Buin, riverine montane rainforest, 2000 feet",Papua New Guinea,https://s3.amazonaws.com/herbaria2/GPI-Types/HUHGPI00054/Araceae/full/full_A00025749.jpg,https://huh.harvard.edu/access-digital-reproductions-works-public-domain,President and Fellows of Harvard College,https://www.gbif.org/occurrence/1999136499,Cyrtosperma-bougainvillense-A-Hay-A-barcode-00025749-1.jpg,downloaded image/jpeg
Cyrtosperma bougainvillense A.Hay,Isotype,A,barcode-00025749,R. Schodde & L. A. Craven,3837,1964,"Bougainville, Maide River gorge, lower south slopes of Lake Lolosu crater, ca. 15 miles north of Buin, riverine montane rainforest, 2000 feet",Papua New Guinea,https://s3.amazonaws.com/huhwebimages/BDC537A025064D5/type/full/25749.jpg,https://huh.harvard.edu/access-digital-reproductions-works-public-domain,President and Fellows of Harvard College,https://www.gbif.org/occurrence/1999136499,Cyrtosperma-bougainvillense-A-Hay-A-barcode-00025749-2.jpg,downloaded image/jpeg
Cyrtosperma bougainvillense A.Hay,Isotype,K,K000499251,"Schodde, R.; Craven, L.",3837,1964,"Maide river gorge, lower south slopes of Lake Loloru crater, c. 15 miles north of Buin.",Papua New Guinea,https://d2jcv3kl45hlgi.cloudfront.net/ca05eaddae4cd49c88481c0658fe31c2.jpg,http://creativecommons.org/licenses/by/4.0/,"Royal Botanic Gardens, Kew",https://www.gbif.org/occurrence/912415874,Cyrtosperma-bougainvillense-A-Hay-K-K000499251-1.jpg,downloaded image/jpeg
Cyrtosperma bougainvillense A.Hay,Type,K,K000499252,"Schodde, R.; Craven, L.",3837,1964,"Maide river gorge, lower south slopes of Lake Loloru crater, c. 15 miles north of Buin.",Papua New Guinea,https://d2jcv3kl45hlgi.cloudfront.net/daf4ae6b153ad4b3b8d954629fe1edbd.jpg,http://creativecommons.org/licenses/by/4.0/,"Royal Botanic Gardens, Kew",https://www.gbif.org/occurrence/912415900,Cyrtosperma-bougainvillense-A-Hay-K-K000499252-1.jpg,downloaded image/jpeg
Cyrtosperma brassii A.Hay,Holotype,,L  0041891,Brass LJ,"Brass, LJ 28282",1956,Papau New Guinea Rossel Isl.; Abaleti,Papua New Guinea,https://medialib.naturalis.nl/file/id/L0041891_MLN/format/large,http://creativecommons.org/publicdomain/zero/1.0/,Naturalis Biodiversity Center,https://www.gbif.org/occurrence/2513103860,Cyrtosperma-brassii-A-Hay--L-0041891-1.jpg,downloaded image/jpeg
Cyrtosperma brassii A.Hay,Isotype,A,barcode-00025750,L. J. Brass,28282,1956,"Rossel Island, Abaleti, 50 m",Papua New Guinea,https://s3.amazonaws.com/herbaria2/GPI-Types/HUHGPI00054/Araceae/full/full_A00025750.jpg,https://huh.harvard.edu/access-digital-reproductions-works-public-domain,President and Fellows of Harvard College,https://www.gbif.org/occurrence/1998769298,Cyrtosperma-brassii-A-Hay-A-barcode-00025750-1.jpg,downloaded image/jpeg
Cyrtosperma brassii A.Hay,Isotype,A,barcode-00025750,L. J. Brass,28282,1956,"Rossel Island, Abaleti, 50 m",Papua New Guinea,https://s3.amazonaws.com/huhwebimages/946799536D5E4DE/type/full/25750.jpg,https://huh.harvard.edu/access-digital-reproductions-works-public-domain,President and Fellows of Harvard College,https://www.gbif.org/occurrence/1998769298,Cyrtosperma-brassii-A-Hay-A-barcode-00025750-2.jpg,downloaded image/jpeg
Cyrtosperma carrii A.Hay,Isotype,,L  0041892,Carr CE,"Carr, CE 12307",1935,Papua Koitaki,Papua New Guinea,https://medialib.naturalis.nl/file/id/L0041892_MLN/format/large,http://creativecommons.org/publicdomain/zero/1.0/,Naturalis Biodiversity Center,https://www.gbif.org/occurrence/2513105412,Cyrtosperma-carrii-A-Hay--L-0041892-1.jpg,downloaded image/jpeg
Cyrtosperma carrii A.Hay,Holotype,NHMUK,BM000958555,Cedric Errol Carr,12307,1935,Koitaki; 1500',Papua New Guinea,https://data.nhm.ac.uk/media/8374880c-29fe-4915-97cd-8dc6a810a3b9,http://creativecommons.org/licenses/by/4.0/,"The Trustees of the Natural History Museum, London",https://www.gbif.org/occurrence/1056401212,Cyrtosperma-carrii-A-Hay-NHMUK-BM000958555-1.jpg,downloaded image/jpeg
