source,file,ia_leaf,printed_page_and_content,has_ocr_text,ia_identifier,ia_url,note
Alderwerelt-1920-Bull-Jard-Bot-Buitenzorg-ser3-v1,Alderwerelt-1920-Bull-Jard-Bot-Buitenzorg-ser3-v1-leaf0194.jpg,194,"159 Koorders, Notiz ueber Cyrtosperma Merkusii (start)",True,bulletindelinsti20kebu,https://archive.org/details/bulletindelinsti20kebu,Koorders p.158
Alderwerelt-1920-Bull-Jard-Bot-Buitenzorg-ser3-v1,Alderwerelt-1920-Bull-Jard-Bot-Buitenzorg-ser3-v1-leaf0195.jpg,195,160 Koorders; C. bantamensis footnote,True,bulletindelinsti20kebu,https://archive.org/details/bulletindelinsti20kebu,Koorders p.158
Alderwerelt-1920-Bull-Jard-Bot-Buitenzorg-ser3-v1,Alderwerelt-1920-Bull-Jard-Bot-Buitenzorg-ser3-v1-leaf0196.jpg,196,161 Koorders (end),True,bulletindelinsti20kebu,https://archive.org/details/bulletindelinsti20kebu,Koorders p.158
Alderwerelt-1920-Bull-Jard-Bot-Buitenzorg-ser3-v1,Alderwerelt-1920-Bull-Jard-Bot-Buitenzorg-ser3-v1-leaf0465.jpg,465,"372 Alderwerelt, Lasia / Cyrtosperma",True,bulletindelinsti20kebu,https://archive.org/details/bulletindelinsti20kebu,Koorders p.158
Alderwerelt-1920-Bull-Jard-Bot-Buitenzorg-ser3-v1,Alderwerelt-1920-Bull-Jard-Bot-Buitenzorg-ser3-v1-leaf0466.jpg,466,373 C. johnstonii note,True,bulletindelinsti20kebu,https://archive.org/details/bulletindelinsti20kebu,Koorders p.158
Alderwerelt-1920-Bull-Jard-Bot-Buitenzorg-ser3-v1,Alderwerelt-1920-Bull-Jard-Bot-Buitenzorg-ser3-v1-leaf0467.jpg,467,374 C. syapense; C. cuspidispathum protologue,True,bulletindelinsti20kebu,https://archive.org/details/bulletindelinsti20kebu,Koorders p.158
Alderwerelt-1920-Bull-Jard-Bot-Buitenzorg-ser3-v1,Alderwerelt-1920-Bull-Jard-Bot-Buitenzorg-ser3-v1-leaf0468.jpg,468,"375 C. subulispathum, C. consobrinum, C. hastatum",True,bulletindelinsti20kebu,https://archive.org/details/bulletindelinsti20kebu,Koorders p.158
Alderwerelt-1920-Bull-Jard-Bot-Buitenzorg-ser3-v1,Alderwerelt-1920-Bull-Jard-Bot-Buitenzorg-ser3-v1-leaf0469.jpg,469,376 continuation,True,bulletindelinsti20kebu,https://archive.org/details/bulletindelinsti20kebu,Koorders p.158
Alderwerelt-1920-Bull-Jard-Bot-Buitenzorg-ser3-v1,Alderwerelt-1920-Bull-Jard-Bot-Buitenzorg-ser3-v1-leaf0470.jpg,470,377 continuation,True,bulletindelinsti20kebu,https://archive.org/details/bulletindelinsti20kebu,Koorders p.158
Alocasia-Johnstoni-1876-Gard-Chron-ns-5,Alocasia-Johnstoni-1876-Gard-Chron-ns-5-leaf0616.jpg,616,603 Bull new plants incl. Alocasia Johnstoni (basionym),True,gardenerschronic51876lond,https://archive.org/details/gardenerschronic51876lond,Gard. Chron. n.s. 5: 603 (1876) - Alocasia Johnstoni W.Bull ex T.Moore & Mast. (basionym of C. johnstonii)
Beccari-1882-Malesia-1,Beccari-1882-Malesia-1-leaf0313.jpg,313,Tav. XXIV figs 1-6 Cyrtosperma macrota Becc. (plate; Hay cites t. 23),True,malesiaracco118771883becc,https://archive.org/details/malesiaracco118771883becc,"Beccari 1882 Malesia 1: 278-280 Cyrtosperma (no. 39 C. macrotum), Tav. XXIV figs 1-6, explanation p. 303"
Beccari-1882-Malesia-1,Beccari-1882-Malesia-1-leaf0340.jpg,340,277 Araceae of Malesia and Papuasia,True,malesiaracco118771883becc,https://archive.org/details/malesiaracco118771883becc,"Beccari 1882 Malesia 1: 278-280 Cyrtosperma (no. 39 C. macrotum), Tav. XXIV figs 1-6, explanation p. 303"
Beccari-1882-Malesia-1,Beccari-1882-Malesia-1-leaf0341.jpg,341,278 Cyrtosperma (C. merkusii record),True,malesiaracco118771883becc,https://archive.org/details/malesiaracco118771883becc,"Beccari 1882 Malesia 1: 278-280 Cyrtosperma (no. 39 C. macrotum), Tav. XXIV figs 1-6, explanation p. 303"
Beccari-1882-Malesia-1,Beccari-1882-Malesia-1-leaf0342.jpg,342,279 no. 39 Cyrtosperma macrotum Becc. description,True,malesiaracco118771883becc,https://archive.org/details/malesiaracco118771883becc,"Beccari 1882 Malesia 1: 278-280 Cyrtosperma (no. 39 C. macrotum), Tav. XXIV figs 1-6, explanation p. 303"
Beccari-1882-Malesia-1,Beccari-1882-Malesia-1-leaf0343.jpg,343,280 continuation,True,malesiaracco118771883becc,https://archive.org/details/malesiaracco118771883becc,"Beccari 1882 Malesia 1: 278-280 Cyrtosperma (no. 39 C. macrotum), Tav. XXIV figs 1-6, explanation p. 303"
Beccari-1882-Malesia-1,Beccari-1882-Malesia-1-leaf0365.jpg,365,302 explanation of plates,True,malesiaracco118771883becc,https://archive.org/details/malesiaracco118771883becc,"Beccari 1882 Malesia 1: 278-280 Cyrtosperma (no. 39 C. macrotum), Tav. XXIV figs 1-6, explanation p. 303"
Beccari-1882-Malesia-1,Beccari-1882-Malesia-1-leaf0366.jpg,366,303 explanation: figs 1-6 Cyrtosperma macrotum,True,malesiaracco118771883becc,https://archive.org/details/malesiaracco118771883becc,"Beccari 1882 Malesia 1: 278-280 Cyrtosperma (no. 39 C. macrotum), Tav. XXIV figs 1-6, explanation p. 303"
Engler-1878-Fl-Bras-3-2,Engler-1878-Fl-Bras-3-2-leaf0066.jpg,66,116 Cyrtosperma genus,True,mobot31753002771175,https://archive.org/details/mobot31753002771175,plate t.22 candidates and p.115
Engler-1878-Fl-Bras-3-2,Engler-1878-Fl-Bras-3-2-leaf0067.jpg,67,"117 C. americanum, C. spruceanum",True,mobot31753002771175,https://archive.org/details/mobot31753002771175,plate t.22 candidates and p.115
Engler-1878-Fl-Bras-3-2,Engler-1878-Fl-Bras-3-2-leaf0068.jpg,68,118 continuation,True,mobot31753002771175,https://archive.org/details/mobot31753002771175,plate t.22 candidates and p.115
Engler-1878-Fl-Bras-3-2,Engler-1878-Fl-Bras-3-2-leaf0140.jpg,140,t. 22 Cyrtosperma americanum plate,True,mobot31753002771175,https://archive.org/details/mobot31753002771175,plate t.22 candidates and p.115
Engler-1879-Monogr-Phan-2,Engler-1879-Monogr-Phan-2-leaf0289.jpg,289,268 Cyrtosperma genus,True,monographiphane02candgoog,https://archive.org/details/monographiphane02candgoog,p.268 genus heading
